title,number,font,5,1,0
img_title_bowl,20,Reggae,0,0,0
img_title_bowl,20,Stick,0,0,0
img_title_bowl,21,DelaGothic,0,0,0
img_title_bowl,21,HachiMaruPop,0,0,0
img_title_bowl,21,KaiseiDecol,0,0,0
img_title_bowl,21,NotoSansJP,0,0,0
img_title_bowl,21,NotoSerif,0,0,0
img_title_bowl,21,Reggae,0,0,0
img_title_bowl,21,Stick,0,0,0
img_title_bowl,22,DelaGothic,0,0,0
img_title_bowl,22,HachiMaruPop,0,0,0
img_title_bowl,22,KaiseiDecol,0,0,0
img_title_bowl,22,NotoSansJP,0,0,0
img_title_bowl,22,NotoSerif,0,0,0
img_title_bowl,22,Reggae,0,0,0
img_title_bowl,22,Stick,0,0,0
img_title_bowl,23,DelaGothic,0,0,0
img_title_bowl,23,HachiMaruPop,0,0,0
img_title_bowl,23,KaiseiDecol,0,0,0
img_title_bowl,23,NotoSansJP,0,0,0
img_title_bowl,23,NotoSerif,0,0,0
img_title_bowl,23,Reggae,0,0,0
img_title_bowl,23,Stick,0,0,0
img_title_bowl,24,DelaGothic,0,0,0
img_title_bowl,24,HachiMaruPop,0,0,0
img_title_bowl,24,KaiseiDecol,0,0,0
img_title_bowl,24,NotoSansJP,0,0,0
img_title_bowl,24,NotoSerif,0,0,0
img_title_bowl,24,Reggae,0,0,0
img_title_bowl,24,Stick,0,0,0
img_title_bowl,25,DelaGothic,0,0,0
img_title_bowl,25,HachiMaruPop,0,0,0
img_title_bowl,25,KaiseiDecol,0,0,0
img_title_bowl,25,NotoSansJP,0,0,0
img_title_bowl,25,NotoSerif,0,0,0
img_title_bowl,25,Reggae,0,0,0
img_title_bowl,25,Stick,0,0,0
img_title_bowl,26,DelaGothic,0,0,0
img_title_bowl,26,HachiMaruPop,0,0,0
img_title_bowl,26,KaiseiDecol,0,0,0
img_title_bowl,26,NotoSansJP,0,0,0
img_title_bowl,26,NotoSerif,0,0,0
img_title_bowl,26,Reggae,0,0,0
img_title_bowl,26,Stick,0,0,0
img_title_bowl,27,DelaGothic,0,0,0
img_title_bowl,27,HachiMaruPop,0,0,0
img_title_bowl,27,KaiseiDecol,0,0,0
img_title_bowl,27,NotoSansJP,0,0,0
img_title_bowl,27,NotoSerif,0,0,0
img_title_bowl,27,Reggae,0,0,0
img_title_bowl,27,Stick,0,0,0
img_title_bowl,28,DelaGothic,0,0,0
img_title_bowl,28,HachiMaruPop,0,0,0
img_title_bowl,28,KaiseiDecol,0,0,0
img_title_bowl,28,NotoSansJP,0,0,0
img_title_bowl,28,NotoSerif,0,0,0
img_title_bowl,28,Reggae,0,0,0
img_title_bowl,28,Stick,0,0,0
img_title_bowl,29,DelaGothic,0,0,0
img_title_bowl,29,HachiMaruPop,0,0,0
img_title_bowl,29,KaiseiDecol,0,0,0
img_title_bowl,29,NotoSansJP,0,0,0
img_title_bowl,29,NotoSerif,0,0,0
img_title_bowl,29,Reggae,0,0,0
img_title_bowl,29,Stick,0,0,0
img_title_bowl,30,DelaGothic,0,0,0
img_title_bowl,30,HachiMaruPop,0,0,0
img_title_bowl,30,KaiseiDecol,0,0,0
img_title_bowl,30,NotoSansJP,0,0,0
img_title_bowl,30,NotoSerif,0,0,0
img_title_bowl,30,Reggae,0,0,0
img_title_bowl,30,Stick,0,0,0
img_title_bowl,31,DelaGothic,0,0,0
img_title_bowl,31,HachiMaruPop,0,0,0
img_title_bowl,31,KaiseiDecol,0,0,0
img_title_bowl,31,NotoSansJP,0,0,0
img_title_bowl,31,NotoSerif,0,0,0
img_title_bowl,31,Reggae,0,0,0
img_title_bowl,31,Stick,0,0,0
img_title_bowl,32,DelaGothic,0,0,0
img_title_bowl,32,HachiMaruPop,0,0,0
img_title_bowl,32,KaiseiDecol,0,0,0
img_title_bowl,32,NotoSansJP,0,0,0
img_title_bowl,32,NotoSerif,0,0,0
img_title_bowl,32,Reggae,0,0,0
img_title_bowl,32,Stick,0,0,0
img_title_bowl,33,DelaGothic,0,0,0
img_title_bowl,33,HachiMaruPop,0,0,0
img_title_bowl,33,KaiseiDecol,0,0,0
img_title_bowl,33,NotoSansJP,0,0,0
img_title_bowl,33,NotoSerif,0,0,0
img_title_bowl,33,Reggae,0,0,0
img_title_bowl,33,Stick,0,0,0
img_title_bowl,34,DelaGothic,0,0,0
img_title_bowl,34,HachiMaruPop,0,0,0
img_title_bowl,34,KaiseiDecol,0,0,0
img_title_bowl,34,NotoSansJP,0,0,0
img_title_bowl,34,NotoSerif,0,0,0
img_title_bowl,34,Reggae,0,0,0
img_title_bowl,34,Stick,0,0,0
img_title_bowl,35,DelaGothic,0,0,0
img_title_bowl,35,HachiMaruPop,0,0,0
img_title_bowl,35,KaiseiDecol,0,0,0
img_title_bowl,35,NotoSansJP,0,0,0
img_title_bowl,35,NotoSerif,0,0,0
img_title_bowl,35,Reggae,0,0,0
